30,X,0.149612,0.250504,0.014198,-0.040493,0.007666,-0.554273,0.131044,0.063827,-0.113354,-0.025921,0.029366,-0.002260,-0.025906,0.009334,0.050287,0.006496,0.032034,0.002038,0.015803,
30,Y,0.009177,-0.021501,-0.114709,-0.017078,0.021746,-0.231146,0.454594,-0.121011,0.013767,-0.007493,0.002862,-0.007966,-0.001100,-0.008101,-0.019055,-0.000096,-0.013037,0.042388,0.017759,
30,Z,0.318473,-0.269044,0.011817,-0.150190,-0.050764,-0.071689,-0.106584,0.244978,0.071682,-0.061751,-0.145948,0.006691,-0.051159,0.012066,0.128944,-0.041084,0.016736,0.075368,0.061457,
31,X,0.147418,0.271573,0.014826,-0.029088,0.010994,-0.557474,0.131128,0.043131,-0.122107,-0.023897,0.032993,-0.002120,-0.022075,0.007696,0.050293,0.007441,0.030279,-0.001260,0.010249,
31,Y,0.008085,-0.026293,-0.110842,-0.022211,0.024627,-0.244807,0.453135,-0.115683,0.017110,-0.003747,-0.003826,-0.007923,-0.006087,-0.007101,-0.010848,-0.000834,-0.007352,0.044776,0.019819,
31,Z,0.390484,-0.269597,0.023582,-0.125536,-0.040494,-0.136846,-0.080573,0.200695,0.059530,-0.079706,-0.150072,0.008542,-0.043922,0.009236,0.141039,-0.044376,0.015622,0.077810,0.044582,
32,X,0.106984,0.207682,0.034476,-0.069514,-0.002803,-0.442030,0.005552,0.151117,-0.091226,-0.019810,0.027139,-0.001508,-0.037910,0.015927,0.042152,0.006397,0.041433,-0.003086,0.029028,
32,Y,0.018203,0.034194,-0.107692,-0.029923,0.009286,-0.291498,0.446877,-0.076214,-0.012486,-0.013198,0.024013,-0.007104,0.001505,-0.005236,-0.031219,0.002658,-0.018121,0.032487,0.023468,
32,Z,0.162305,-0.262333,-0.007091,-0.184050,-0.049955,0.086489,-0.154531,0.288392,0.088801,-0.025904,-0.129389,0.004205,-0.064939,0.016060,0.092990,-0.035127,0.023605,0.066225,0.084246,
33,X,0.122933,0.226585,0.025794,-0.055903,0.002544,-0.493411,0.061114,0.110291,-0.099533,-0.021374,0.026824,-0.002213,-0.033593,0.013026,0.048332,0.006943,0.038883,-0.000405,0.023163,
33,Y,0.007416,0.006579,-0.108529,-0.029315,0.013826,-0.256853,0.442840,-0.086045,0.000696,-0.009974,0.013762,-0.007265,-0.001864,-0.005543,-0.026261,0.001222,-0.014348,0.036382,0.023274,
33,Z,0.229823,-0.270701,0.004471,-0.161744,-0.045235,0.013888,-0.132865,0.255501,0.084573,-0.036846,-0.147311,0.005723,-0.060724,0.013680,0.120737,-0.039103,0.024727,0.071269,0.070137,
34,X,0.135743,0.241756,0.019176,-0.045079,0.007019,-0.527833,0.098749,0.078414,-0.106605,-0.021723,0.026284,-0.002532,-0.029792,0.010579,0.052863,0.006939,0.036321,0.001457,0.018263,
34,Y,-0.004450,-0.015426,-0.106391,-0.031031,0.017016,-0.232029,0.434902,-0.088185,0.012105,-0.005587,0.003817,-0.007266,-0.005777,-0.005345,-0.019597,0.000080,-0.010041,0.039208,0.023997,
34,Z,0.293462,-0.277443,0.015843,-0.138422,-0.038872,-0.047264,-0.110270,0.217639,0.078407,-0.048223,-0.158929,0.007523,-0.054049,0.010812,0.139902,-0.042725,0.023239,0.074499,0.054871,
35,X,0.140959,0.259331,0.017866,-0.033833,0.010028,-0.538585,0.105515,0.056491,-0.114552,-0.020411,0.028945,-0.002458,-0.025606,0.008830,0.053407,0.007411,0.034000,-0.000262,0.012925,
35,Y,-0.017983,-0.013698,-0.102126,-0.031532,0.020490,-0.238741,0.434832,-0.090527,0.014908,0.000522,-0.001655,-0.007381,-0.009249,-0.005036,-0.011481,0.000403,-0.005231,0.039422,0.024065,
35,Z,0.360171,-0.279063,0.024543,-0.115702,-0.031089,-0.116827,-0.070696,0.173400,0.068181,-0.062124,-0.165552,0.009429,-0.045790,0.007418,0.153370,-0.046160,0.019494,0.077603,0.039394,
36,X,0.133849,0.281643,0.021716,-0.020820,0.010828,-0.518374,0.076537,0.045067,-0.123724,-0.017403,0.037677,-0.002228,-0.020439,0.007887,0.046911,0.009214,0.031623,-0.006957,0.006994,
36,Y,-0.029452,0.015992,-0.096964,-0.031563,0.024188,-0.282600,0.443298,-0.093072,0.007006,0.008824,-0.003643,-0.007511,-0.012507,-0.004721,-0.000323,0.001709,-0.000065,0.037602,0.023805,
36,Z,0.431301,-0.265798,0.032275,-0.094361,-0.022775,-0.203866,-0.015258,0.124337,0.049976,-0.078957,-0.169090,0.011644,-0.036376,0.003314,0.166155,-0.049536,0.013475,0.079894,0.023647,
37,X,0.094561,0.194834,0.029653,-0.077483,0.001067,-0.428680,0.008156,0.154701,-0.083582,-0.018254,0.024312,-0.002495,-0.044503,0.017018,0.042188,0.006491,0.047597,0.000753,0.033666,
